"Date","Close"
1984-01-03,997.5
1984-01-04,998.599975585938
1984-01-05,1015.79998779297
1984-01-06,1029
1984-01-09,1034.59997558594
1984-01-10,1034.30004882812
1984-01-11,1023.40002441406
1984-01-12,1031.30004882812
1984-01-13,1042.69995117188
1984-01-16,1046
1984-01-17,1041.90002441406
1984-01-18,1058.69995117188
1984-01-19,1057.80004882812
1984-01-20,1059
1984-01-23,1046.80004882812
1984-01-24,1055.19995117188
1984-01-25,1073.5
1984-01-26,1072.09997558594
1984-01-27,1075.90002441406
1984-01-30,1068.59997558594
1984-01-31,1063
1984-02-01,1060.30004882812
1984-02-02,1050.80004882812
1984-02-03,1059.80004882812
1984-02-06,1038.19995117188
1984-02-07,1021.70001220703
1984-02-08,1029.69995117188
1984-02-09,1016.90002441406
1984-02-10,1018
1984-02-13,1018.29998779297
1984-02-14,1027
1984-02-15,1033
1984-02-16,1035
1984-02-17,1039
1984-02-20,1035.40002441406
1984-02-21,1044.40002441406
1984-02-22,1043
1984-02-23,1031.69995117188
1984-02-24,1036.90002441406
1984-02-27,1041.30004882812
1984-02-28,1039.19995117188
1984-02-29,1040.30004882812
1984-03-01,1046.09997558594
1984-03-02,1060.69995117188
1984-03-05,1053.69995117188
1984-03-06,1064.5
1984-03-07,1055.59997558594
1984-03-08,1055.80004882812
1984-03-09,1060.09997558594
1984-03-12,1063.59997558594
1984-03-13,1082.5
1984-03-14,1087.69995117188
1984-03-15,1101.09997558594
1984-03-16,1128.5
1984-03-19,1109.69995117188
1984-03-20,1123.30004882812
1984-03-21,1130.69995117188
1984-03-22,1117.19995117188
1984-03-23,1121.30004882812
1984-03-26,1119.69995117188
1984-03-27,1101.90002441406
1984-03-28,1103.59997558594
1984-03-29,1113.59997558594
1984-03-30,1112.5
1984-04-02,1108.09997558594
1984-04-03,1095.40002441406
1984-04-04,1093.59997558594
1984-04-05,1102.19995117188
1984-04-06,1096.30004882812
1984-04-09,1096.69995117188
1984-04-10,1105.40002441406
1984-04-11,1110.59997558594
1984-04-12,1117
1984-04-13,1129.09997558594
1984-04-16,1105.90002441406
1984-04-17,1110.19995117188
1984-04-18,1116.19995117188
1984-04-19,1108.40002441406
1984-04-20,NA
1984-04-23,NA
1984-04-24,1105.40002441406
1984-04-25,1119.80004882812
1984-04-26,1130.90002441406
1984-04-27,1138.19995117188
1984-04-30,1138.30004882812
1984-05-01,1136.80004882812
1984-05-02,1140.09997558594
1984-05-03,1141.5
1984-05-04,1134
1984-05-07,NA
1984-05-08,1117.59997558594
1984-05-09,1109.90002441406
1984-05-10,1094.40002441406
1984-05-11,1078.69995117188
1984-05-14,1082.40002441406
1984-05-15,1094.59997558594
1984-05-16,1104.5
1984-05-17,1113
1984-05-18,1104.90002441406
1984-05-21,1108.69995117188
1984-05-22,1084.59997558594
1984-05-23,1075.40002441406
1984-05-24,1051.59997558594
1984-05-25,1055.5
1984-05-28,NA
1984-05-29,1056.09997558594
1984-05-30,1026.59997558594
1984-05-31,1021
1984-06-01,1055.80004882812
1984-06-04,1078
1984-06-05,1077.80004882812
1984-06-06,1087.90002441406
1984-06-07,1072
1984-06-08,1068.59997558594
1984-06-11,1075.90002441406
1984-06-12,1067.09997558594
1984-06-13,1064.69995117188
1984-06-14,1043.80004882812
1984-06-15,1040.09997558594
1984-06-18,1042.59997558594
1984-06-19,1056
1984-06-20,1035.59997558594
1984-06-21,1041.59997558594
1984-06-22,1033.09997558594
1984-06-25,1033.09997558594
1984-06-26,1024.30004882812
1984-06-27,1038.30004882812
1984-06-28,1029.30004882812
1984-06-29,1041.40002441406
1984-07-02,1047.59997558594
1984-07-03,1050.19995117188
1984-07-04,1063.30004882812
1984-07-05,1062.40002441406
1984-07-06,1042.30004882812
1984-07-09,1033.5
1984-07-10,1014.40002441406
1984-07-11,1001.70001220703
1984-07-12,991.400024414062
1984-07-13,995.799987792969
1984-07-16,1003
1984-07-17,1007.79998779297
1984-07-18,1009
1984-07-19,1003
1984-07-20,1009.79998779297
1984-07-23,986.900024414062
1984-07-24,989.599975585938
1984-07-25,996.200012207031
1984-07-26,999.099975585938
1984-07-27,995.599975585938
1984-07-30,996.5
1984-07-31,1010.09997558594
1984-08-01,1018.09997558594
1984-08-02,1039.09997558594
1984-08-03,1065
1984-08-06,1061.40002441406
1984-08-07,1068.69995117188
1984-08-08,1080.69995117188
1984-08-09,1070.40002441406
1984-08-10,1095.69995117188
1984-08-13,1084.09997558594
1984-08-14,1091.80004882812
